商品名,販売数,URL,画像URL,画像pHash,cos類似度,最も類似した画像URL,類似画像判定
大きなサイズ ぬいぐるみ製 ペンケース 目付き、かわいい ファジー ペンポーチ、文具バッグ、女性ペンバッグ、学生用学校文具、オフィスデスクオーガナイザー、低学年から高学年、勤労者まで使えます 1個入り,1.4k+ sold,https://jp.shein.com/1-Pc-Big-Size-Plush-Pencil-Case-With-Eyes-Kawaii-Fuzzy-Pencil-Pouch-Stationery-Bag-Women-Pencil-Bag-Student-School-Supplies-Office-Desk-Organizer-Suitable-For-Lower-Higher-Grades-Working-Adults-Back-To-School-p-48759612.html?mallCode=1&pageListType=4,https://img.ltwebstatic.com/images3_spmp/2024/11/27/20/1732694447cc83b29f64fd27e3bb16b20ba0125afa_thumbnail_405x552.jpg,ba485637cc85e734,0.8198242,https://m.media-amazon.com/images/I/71PAJwm38ZL._AC_SL1500_.jpg ,類似画像の可能性あり
1個 キャンディーカラーのやわらかい学生文房具収納ペンバッグ,800+ sold,https://jp.shein.com/1pc-Candy-Color-Soft-Student-Stationery-Storage-Pen-Bag-Back-To-School-p-44999768.html?mallCode=1&pageListType=4,https://img.ltwebstatic.com/images3_spmp/2024/10/13/ae/1728807902b0e8aa3dc72870432d87fdfdd16b6a98_thumbnail_405x552.jpg,af92c46d3b94c46a,0.50303745,https://m.media-amazon.com/images/I/81LGHxJyFlS._AC_UL960_FMwebp_QL65_.jpg,
三角形透明ペンケース大容量ペンバッグミニマリストデザインペンポーチ学生 Ins 文房具学校オフィス用品,600+ sold,https://jp.shein.com/Triangle-Transparent-Pencil-Case-Large-Capacity-Pen-Bag-Minimalist-Design-Pencil-Pouch-For-Students-Ins-Stationary-School-Office-Supplies-Back-To-School-p-46715544.html?mallCode=1&pageListType=4,https://img.ltwebstatic.com/images3_spmp/2024/11/02/67/1730518749e0cc2de4c432f60a032e6df6b14e11c7_square_thumbnail_405x552.jpg,ee299956c44656e9,0.5720639,https://m.media-amazon.com/images/I/616myZj+r3L._AC_UL960_FMwebp_QL65_.jpg,
1個 シンプルな黒リボン白鉛筆バッグ、手帳クリップオフィス請求書学生試験用紙フォルダーロングテールクリップ、おしゃれで可愛い女子学生メイクポーチ大容量文具収納バッグ,,https://jp.shein.com/1pc-Simple-Black-Bow-White-Pencil-Bag-Hand-Account-Clip-Office-Bill-Student-Test-Paper-Folder-Long-Tail-Clip-High-Looking-Cute-Girl-Student-Makeup-Bag-Large-Capacity-Stationery-Storage-Bag-p-60494661.html?mallCode=1&pageListType=4,https://img.ltwebstatic.com/images3_spmp/2025/03/11/26/17416892902f4491542e222d8248a676f215fd6851_square_thumbnail_405x552.jpg,9971f984a61ee2c5,0.4947304,https://m.media-amazon.com/images/I/81MK8PIUpsL._AC_UL960_FMwebp_QL65_.jpg,
1個 可愛い鉛筆ケース カートゥーン 大容量 角型 日韓スタイル 学生の鉛筆ケース 男女兼用 多機能 シンプル 文具入れ ペンケース メイクポーチ 洗面用具入れ 化粧道具入れ,1.0k+ sold,https://jp.shein.com/1pc-Cute-Pencil-Case-Cartoon-Large-Capacity-Pencil-Case-Japanese-And-Korean-Student-Pencil-Case-Boys-And-Girls-Pencil-Case-Pencil-Case-Multi-Function-Simple-Pencil-Pencil-Case-Makeup-Case-Pencil-Case-Washing-Case-Pencil-Case-Pencil-Case-Pencil-Case-Simple-Pencil-Case-p-32646791.html?mallCode=1&pageListType=4,https://img.ltwebstatic.com/images3_spmp/2024/03/26/14/1711418901b6ed36278763b8c70fb28e020c383aac.jpg,9f919b92939b829a,0.27615643,https://m.media-amazon.com/images/I/91D0rWRSRLL._AC_UL960_FMwebp_QL65_.jpg,
透明な 5層メッシュ ペンケース、筆記用具・文具の収納に最適、学校用ポーチ 透明ポケット付き,1.3k+ sold,https://jp.shein.com/Transparent-5-Layer-Mesh-Bag-Pen-Pencil-Case-Visable-Pocket-Storage-Pouch-For-Stationery-School-Back-To-School-p-37656102.html?mallCode=1&pageListType=4,https://img.ltwebstatic.com/images3_spmp/2024/06/25/59/1719320380f7fffa984f242fa579e3b20b68c24db1_thumbnail_600x.webp,fb3f9dd0c0c04267,0.540006,https://m.media-amazon.com/images/I/81zyES+l9PL._AC_UL960_FMwebp_QL65_.jpg,
チェック柄の大容量高価値ペンケース 1 個,400+ sold,https://jp.shein.com/1pc-Plaid-Pattern-Large-Capacity-High-Value-Pencil-Case-Back-To-School-p-23806331.html?mallCode=1&pageListType=4,https://img.ltwebstatic.com/images3_spmp/2023/09/21/ef/16952911206ba8b900cb2e44b7e1cd262e7ae249a7_thumbnail_600x.webp,a3458fe5d674222b,0.4878625,https://m.media-amazon.com/images/I/51GGOhHrNAL._AC_UL960_FMwebp_QL65_.jpg,
プレーンペンシルバッグ1個。,1.0k+ sold,https://jp.shein.com/1pc-Plain-Pencil-Bag-Back-To-School-p-14233176.html?mallCode=1&pageListType=4,https://img.ltwebstatic.com/images3_spmp/2024/09/23/54/17270774629a691d4ff7fc32bfd1ff4845adb0c027_thumbnail_600x.webp,8240feb69fc3601f,0.3954425,https://m.media-amazon.com/images/I/61pCM07wfxL._AC_UL960_FMwebp_QL65_.jpg,
1個 ワッフル ラム ぬいぐるみ ペンケース、和風 ニッチ 学生文房具収納バッグ、ガーリー メイクアップバッグ、アイテム収納ポーチ,1.2k+ sold,https://jp.shein.com/1pc-Waffle-Lamb-Plush-Pencil-Case-Japanese-Style-Niche-Student-Stationery-Storage-Bag-Girly-Makeup-Bag-Item-Storage-Pouch-p-45429512.html?mallCode=1&pageListType=4,https://img.ltwebstatic.com/images3_spmp/2024/10/17/bd/17291702682c90252b24b98da8387f945ec56d70f3_thumbnail_600x.webp,fe9dc263884eac54,0.4803318,https://m.media-amazon.com/images/I/512cA1zzjNL._AC_UL960_FMwebp_QL65_.jpg,
"1個 デスクトップペンホルダー、クリップオン式鉛筆オーガナイザー、粘着式オフィスサプライアクセサリー、PP製強力粘着デスクトップオーガナイザーセット丸い縁, マーカー/鉛筆収納ボックス",,https://jp.shein.com/1pc-Desktop-Pen-Holder-Clip-On-Pencil-Organizer-Adhesive-Office-Supplies-Accessories-PP-Plastic-Desktop-Organizer-Set-With-Strong-Adhesive-And-Rounded-Edges-Marker-Pen-Pencil-Storage-Box-p-60183698.html?mallCode=1&pageListType=4,https://img.ltwebstatic.com/v4/p/spmp/2025/03/26/41/17429913142de05c3009c6b1dbad7d72676e243b86_thumbnail_600x.webp,b815930a85faf65c,0.55497456,https://m.media-amazon.com/images/I/71xqkYfN0IL._AC_UL960_FMwebp_QL65_.jpg,
